                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4897,                 1.2587,                 1.4926,                0.79421,                0.67732,                0.75278,                0.43908,                 1.2974,                 1.0279,                 1.5431,             0.00055531,             0.00055531,             0.00055531
                      2,                 1.4791,                  1.147,                 1.5011,                0.80323,                0.74165,                0.80935,                0.49183,                 1.1937,                0.82943,                 1.4375,               0.001089,               0.001089,               0.001089
                      3,                 1.4367,                 1.0619,                  1.473,                0.84918,                0.74782,                0.83738,                0.51888,                 1.1928,                0.84017,                 1.4261,              0.0016006,              0.0016006,              0.0016006
                      4,                 1.3943,                0.97439,                 1.4468,                0.86064,                0.78713,                0.85532,                0.52982,                 1.1374,                0.71907,                 1.3965,               0.001568,               0.001568,               0.001568
                      5,                 1.3644,                 0.9132,                 1.4316,                0.84956,                 0.7958,                0.87115,                  0.537,                  1.163,                0.71329,                 1.4105,               0.001568,               0.001568,               0.001568
                      6,                 1.3367,                0.85786,                 1.4108,                0.86311,                0.79966,                0.87594,                0.55285,                 1.1489,                0.67274,                 1.4229,               0.001535,               0.001535,               0.001535
                      7,                 1.3145,                0.82365,                 1.3912,                 0.8874,                0.82063,                0.89079,                0.55577,                 1.1413,                0.59963,                 1.4083,               0.001502,               0.001502,               0.001502
                      8,                 1.2938,                0.79201,                 1.3818,                0.89068,                0.82055,                0.89727,                0.55943,                 1.1833,                 0.6061,                  1.402,               0.001469,               0.001469,               0.001469
                      9,                 1.2702,                0.75147,                  1.361,                0.89763,                 0.8227,                0.89619,                0.56752,                 1.1195,                0.54007,                 1.3874,               0.001436,               0.001436,               0.001436
                     10,                   1.25,                0.72496,                 1.3495,                0.88218,                0.84975,                0.90211,                0.57648,                  1.133,                0.55161,                 1.3831,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.2441,                0.71155,                 1.3466,                0.90518,                0.81979,                0.89484,                0.56912,                 1.1219,                0.54729,                 1.3837,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.2144,                 0.6716,                 1.3231,                0.89727,                0.82369,                0.89847,                0.57522,                 1.0955,                0.53864,                  1.379,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.2004,                0.66981,                 1.3256,                0.89855,                 0.8402,                0.90776,                0.58395,                 1.1193,                0.51444,                 1.4144,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.1846,                0.65378,                 1.3188,                0.90945,                0.82685,                0.89973,                0.57247,                 1.1352,                0.52154,                 1.4029,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.1779,                0.63715,                 1.3121,                0.89035,                0.83439,                0.90225,                0.57939,                 1.1044,                0.50272,                 1.3763,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.1598,                0.61712,                 1.2948,                0.88568,                0.85512,                0.90149,                0.57855,                 1.1101,                0.50871,                 1.4041,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.1449,                0.60986,                 1.2875,                0.89899,                0.83283,                0.89296,                0.57735,                 1.1193,                0.50745,                 1.3825,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.1314,                0.60088,                 1.2845,                0.88634,                0.84421,                0.88963,                0.58135,                 1.1012,                0.51636,                  1.401,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.1207,                0.58973,                 1.2743,                0.89067,                0.83355,                0.89606,                0.57879,                 1.1108,                0.51348,                 1.4063,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.1089,                0.57482,                 1.2624,                0.90309,                0.85122,                0.90183,                0.58734,                 1.1232,                0.49446,                 1.4344,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.0976,                0.56475,                 1.2538,                0.89943,                0.84666,                0.90202,                0.58646,                 1.1067,                 0.4932,                 1.4002,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.0829,                0.55887,                  1.255,                0.89537,                0.85374,                0.89929,                0.58656,                 1.1072,                0.49279,                 1.4043,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.0685,                0.54244,                 1.2372,                0.89098,                0.84679,                0.89884,                0.58881,                 1.0954,                0.48628,                 1.3844,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.0651,                0.53643,                  1.238,                0.89226,                0.85486,                0.90283,                0.58922,                 1.1158,                0.48973,                 1.3915,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.0488,                0.52689,                 1.2291,                0.90931,                0.84762,                0.89468,                0.58313,                 1.1114,                0.48451,                  1.423,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.0274,                0.51297,                 1.2146,                0.90663,                0.85038,                0.90187,                0.59115,                 1.1168,                 0.4784,                  1.412,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.0212,                0.50864,                 1.2088,                0.88983,                0.84065,                0.89137,                0.58498,                 1.1046,                0.48547,                 1.4262,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.0106,                0.50251,                 1.2044,                0.91276,                0.83865,                0.89616,                0.58812,                 1.1039,                0.48588,                 1.3994,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.0013,                0.49824,                 1.2022,                0.91813,                0.83589,                 0.9035,                0.58892,                 1.1232,                0.48291,                 1.4272,             0.00077582,             0.00077582,             0.00077582
                     30,                0.98648,                0.49073,                 1.1909,                 0.9026,                0.84272,                0.90008,                0.58534,                 1.1225,                0.48276,                 1.4424,             0.00074282,             0.00074282,             0.00074282
                     31,                0.98063,                0.48389,                 1.1846,                0.89796,                0.85223,                0.90876,                0.59572,                 1.1182,                0.47504,                 1.4389,             0.00070981,             0.00070981,             0.00070981
                     32,                0.96866,                0.47552,                 1.1717,                0.90102,                0.85177,                0.89359,                0.58363,                 1.1204,                0.48105,                 1.4436,              0.0006768,              0.0006768,              0.0006768
                     33,                  0.951,                0.46404,                 1.1677,                0.89666,                0.84787,                0.89578,                0.58734,                  1.122,                0.49142,                  1.463,              0.0006438,              0.0006438,              0.0006438
                     34,                 0.9363,                0.45917,                 1.1536,                0.90297,                0.84026,                0.89837,                0.59006,                 1.1157,                0.48424,                 1.4533,             0.00061079,             0.00061079,             0.00061079
                     35,                0.92971,                0.45426,                 1.1511,                0.89371,                0.85232,                    0.9,                0.59016,                 1.1232,                0.47921,                  1.462,             0.00057778,             0.00057778,             0.00057778
                     36,                0.91503,                0.44598,                 1.1496,                0.89686,                0.85286,                0.89607,                0.59043,                 1.1192,                0.48135,                 1.4614,             0.00054478,             0.00054478,             0.00054478
                     37,                 0.9127,                0.44485,                 1.1407,                0.90386,                0.84881,                 0.8998,                 0.5906,                 1.1116,                0.47242,                 1.4269,             0.00051177,             0.00051177,             0.00051177
                     38,                0.90069,                0.43675,                 1.1371,                0.88902,                0.85492,                0.89732,                0.58886,                 1.1172,                0.48395,                 1.4599,             0.00047876,             0.00047876,             0.00047876
                     39,                0.89562,                0.43533,                 1.1296,                 0.9042,                0.84587,                0.89699,                0.58992,                 1.1249,                0.48355,                 1.4597,             0.00044576,             0.00044576,             0.00044576
                     40,                0.88053,                0.42916,                 1.1249,                0.90384,                0.83984,                0.89515,                0.58855,                 1.1294,                0.48343,                 1.4764,             0.00041275,             0.00041275,             0.00041275
                     41,                0.84846,                0.36266,                 1.1276,                0.90073,                0.84976,                 0.8974,                0.59358,                 1.1202,                0.48087,                 1.4565,             0.00037974,             0.00037974,             0.00037974
                     42,                0.83038,                0.35493,                 1.1117,                0.88755,                0.84381,                0.89315,                0.59098,                 1.1236,                 0.4888,                 1.4694,             0.00034674,             0.00034674,             0.00034674
                     43,                0.81798,                0.34915,                 1.1028,                0.89454,                0.84111,                0.89598,                0.59283,                 1.1231,                0.48754,                 1.4732,             0.00031373,             0.00031373,             0.00031373
                     44,                0.81339,                 0.3451,                 1.1063,                0.87412,                0.86254,                0.89388,                0.59142,                 1.1269,                0.49459,                 1.4893,             0.00028072,             0.00028072,             0.00028072
                     45,                  0.797,                0.33867,                 1.0879,                0.90661,                0.83825,                0.89392,                 0.5931,                  1.121,                0.48624,                 1.4866,             0.00024772,             0.00024772,             0.00024772
                     46,                 0.7847,                0.33411,                  1.083,                0.89869,                0.83986,                0.89368,                0.59311,                 1.1224,                0.49284,                 1.4883,             0.00021471,             0.00021471,             0.00021471
                     47,                0.76854,                 0.3269,                  1.073,                0.88891,                0.84833,                0.89245,                0.59335,                 1.1202,                0.49122,                 1.4974,              0.0001817,              0.0001817,              0.0001817
                     48,                   0.76,                0.32321,                 1.0692,                0.90325,                0.83153,                0.89473,                0.59488,                 1.1218,                0.48877,                 1.4986,              0.0001487,              0.0001487,              0.0001487
                     49,                0.74845,                0.31955,                 1.0629,                0.88441,                0.85237,                0.89446,                0.59514,                 1.1211,                0.48841,                 1.5069,             0.00011569,             0.00011569,             0.00011569
                     50,                0.74897,                 0.3185,                 1.0654,                0.88213,                0.84884,                0.89496,                 0.5952,                 1.1265,                0.49173,                  1.512,             8.2683e-05,             8.2683e-05,             8.2683e-05
