                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.95003,                0.47094,                  1.139,                0.87206,                0.83576,                0.87954,                0.57728,                  1.054,                0.49161,                 1.2967,               0.006634,               0.006634,               0.006634
                     37,                0.93517,                0.46342,                 1.1347,                0.87104,                0.83976,                0.87861,                0.57689,                 1.0559,                0.49715,                 1.3132,               0.006535,               0.006535,               0.006535
                     38,                0.92527,                0.45834,                  1.125,                0.86375,                0.84739,                 0.8797,                0.57844,                 1.0541,                 0.4967,                 1.3118,               0.006436,               0.006436,               0.006436
                     39,                 0.9228,                0.45698,                 1.1285,                0.86084,                0.85648,                0.88148,                0.57918,                 1.0522,                0.49081,                 1.3078,               0.006337,               0.006337,               0.006337
                     40,                0.91354,                0.44944,                 1.1216,                0.86369,                0.84424,                0.87736,                0.57659,                  1.055,                0.49559,                 1.3082,               0.006238,               0.006238,               0.006238
                     41,                0.91049,                0.44559,                 1.1129,                0.86931,                0.84228,                 0.8774,                0.57783,                  1.059,                0.50162,                 1.3088,               0.006139,               0.006139,               0.006139
                     42,                0.90427,                0.44361,                 1.1113,                0.85596,                0.84701,                0.87285,                0.57491,                 1.0582,                0.50581,                 1.3115,                0.00604,                0.00604,                0.00604
                     43,                0.89922,                0.44431,                 1.1115,                0.86516,                0.84251,                0.87515,                0.57555,                 1.0613,                0.50226,                  1.323,               0.005941,               0.005941,               0.005941
                     44,                0.88675,                0.43551,                 1.1035,                0.86171,                0.84212,                0.87383,                0.57484,                 1.0638,                0.50376,                 1.3262,               0.005842,               0.005842,               0.005842
                     45,                0.88578,                0.43657,                 1.1073,                0.86855,                0.83396,                0.87101,                0.57437,                 1.0645,                0.50555,                 1.3302,               0.005743,               0.005743,               0.005743
                     46,                 0.8775,                0.42803,                  1.099,                0.87185,                0.82834,                0.87046,                0.57385,                 1.0667,                0.50923,                 1.3307,               0.005644,               0.005644,               0.005644
                     47,                0.86989,                0.42696,                 1.0968,                0.86944,                0.83099,                0.87133,                0.57474,                 1.0684,                0.50947,                 1.3353,               0.005545,               0.005545,               0.005545
                     48,                0.85963,                 0.4219,                 1.0908,                0.87389,                0.83074,                0.87218,                0.57632,                 1.0674,                0.50813,                 1.3389,               0.005446,               0.005446,               0.005446
                     49,                0.85128,                0.41744,                 1.0882,                0.87509,                0.82725,                0.87243,                 0.5756,                 1.0679,                0.50715,                  1.339,               0.005347,               0.005347,               0.005347
                     50,                0.85267,                0.41668,                 1.0896,                0.87238,                0.82967,                0.87284,                0.57573,                 1.0678,                0.50781,                 1.3406,               0.005248,               0.005248,               0.005248
                     51,                0.84175,                0.41223,                 1.0816,                0.86419,                0.83741,                 0.8728,                0.57649,                 1.0666,                0.50836,                 1.3419,               0.005149,               0.005149,               0.005149
                     52,                0.84249,                 0.4109,                 1.0831,                0.86514,                0.83487,                0.87391,                0.57699,                 1.0664,                0.50877,                  1.345,                0.00505,                0.00505,                0.00505
                     53,                 0.8268,                0.40298,                 1.0722,                0.87131,                0.83123,                0.87405,                 0.5778,                  1.066,                0.50933,                 1.3466,               0.004951,               0.004951,               0.004951
                     54,                0.83017,                0.40552,                 1.0684,                 0.8688,                0.83407,                0.87315,                0.57737,                 1.0659,                0.50732,                 1.3477,               0.004852,               0.004852,               0.004852
                     55,                0.82524,                0.40254,                 1.0642,                0.87085,                0.83402,                0.87368,                0.57692,                 1.0654,                0.50778,                 1.3437,               0.004753,               0.004753,               0.004753
                     56,                0.82051,                  0.399,                 1.0635,                0.87068,                0.83555,                0.87426,                0.57629,                 1.0659,                 0.5085,                 1.3434,               0.004654,               0.004654,               0.004654
                     57,                0.80656,                0.39527,                 1.0607,                0.87337,                0.83251,                0.87407,                0.57717,                  1.066,                0.50797,                 1.3439,               0.004555,               0.004555,               0.004555
