                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.87711,                0.42242,                 1.0923,                0.86325,                0.82443,                  0.865,                0.56516,                 1.0894,                0.50284,                 1.3335,               0.003268,               0.003268,               0.003268
                     37,                0.86082,                0.41286,                  1.085,                0.87814,                0.81086,                0.86456,                0.56564,                 1.0852,                0.50689,                 1.3431,                0.00307,                0.00307,                0.00307
                     38,                0.84781,                0.40687,                 1.0818,                0.86384,                0.82488,                0.86429,                0.56413,                 1.0896,                0.50386,                 1.3596,               0.002872,               0.002872,               0.002872
                     39,                0.83549,                0.40416,                 1.0763,                0.86087,                0.82521,                0.86352,                0.56529,                 1.0853,                0.50425,                 1.3614,               0.002674,               0.002674,               0.002674
                     40,                0.82562,                0.39582,                 1.0694,                0.86874,                0.82113,                0.86465,                0.56557,                 1.0833,                0.50396,                 1.3486,               0.002476,               0.002476,               0.002476
                     41,                0.78751,                0.33085,                 1.0579,                0.86326,                0.82183,                0.86428,                 0.5679,                 1.0814,                0.50958,                  1.336,               0.002278,               0.002278,               0.002278
                     42,                0.76631,                0.32468,                 1.0497,                0.84658,                0.83042,                0.86352,                0.56854,                 1.0822,                0.50963,                 1.3419,                0.00208,                0.00208,                0.00208
                     43,                0.75671,                0.31902,                 1.0439,                0.86621,                0.80955,                0.86166,                0.56774,                 1.0835,                 0.5147,                 1.3466,               0.001882,               0.001882,               0.001882
                     44,                0.74792,                0.31651,                  1.042,                0.85734,                0.81677,                0.86024,                0.56767,                 1.0875,                0.51685,                 1.3436,               0.001684,               0.001684,               0.001684
                     45,                0.72743,                0.30727,                  1.031,                0.86569,                0.81004,                0.86025,                0.56787,                 1.0907,                0.51813,                 1.3574,               0.001486,               0.001486,               0.001486
                     46,                0.71164,                0.30039,                 1.0182,                  0.865,                0.81259,                0.86044,                0.56749,                 1.0899,                0.51813,                 1.3724,               0.001288,               0.001288,               0.001288
                     47,                0.69889,                0.29479,                 1.0098,                0.86861,                0.80791,                0.86043,                0.56752,                  1.092,                0.52069,                 1.3871,                0.00109,                0.00109,                0.00109
                     48,                0.68991,                0.29068,                  1.004,                 0.8658,                0.81437,                0.86107,                0.56788,                  1.092,                0.51937,                 1.3953,               0.000892,               0.000892,               0.000892
                     49,                0.67682,                0.28465,                0.99927,                0.86247,                0.81818,                0.86139,                0.56654,                 1.0934,                0.51714,                 1.4055,               0.000694,               0.000694,               0.000694
                     50,                0.66784,                0.27999,                0.99605,                0.86406,                0.81611,                0.86186,                0.56647,                 1.0947,                0.51847,                 1.4153,               0.000496,               0.000496,               0.000496
